Table_Type$Company$System_Name$Nodes$Jvm_Company$Cpu_Name$Cpu_Frequency$Chips$Cores$Threads$Memory$Test_Location$Publish_Date$Primary_Instruction_Cache$Primary_Data_Cache$Secondary_Cache$Tertiary_Cache$Total_Result
Power$Apple$Xserve2,1$1$Sun Microsystems$Intel(R) Xeon(R) CPU E5472$3000.0$2.0$8.0$32.0$16.0$Cupertino$Apr 8, 2009$32.0$32.0$12288.0$0.0$245.0
Power$Bull SAS$NovaScale R440 F2 (Intel Xeon X5670, 2.93 GHz)$1$IBM Corporation$Intel Xeon X5670$2933.0$2.0$12.0$24.0$12.0$Les Clayes-sous-Bois$Oct 20, 2010$32.0$32.0$256.0$12288.0$2831.0
Power$Cisco Systems$UCS C220 M3$1$IBM Corporation$Intel Xeon E5-2660$2200.0$2.0$16.0$32.0$24.0$Durham$Oct 17, 2012$32.0$32.0$256.0$20480.0$4904.0
Power$Colfax International$CX2266-N2$1$BEA System$AMD Opteron 2216HE$2400.0$2.0$4.0$4.0$16.0$Austin$Dec 11, 2007$64.0$64.0$1024.0$0.0$203.0
Power$DEPO Computers$DEPO Storm 3350V2$1$Oracle Corporation$Intel Xeon E5-2660 v2$2200.0$2.0$20.0$40.0$32.0$Moscow$Oct 7, 2014$32.0$32.0$256.0$25600.0$5244.0
Power$DEPO Computers$DEPO Race X340H$1$Oracle Corporation$Intel Core i5-4570$3200.0$1.0$4.0$4.0$16.0$Moscow$Dec 19, 2014$32.0$32.0$256.0$6144.0$1469.0
Power$Dell$PowerEdge 2950 III (Intel Xeon E5440)$1$BEA System$Intel Xeon E5440$2833.0$2.0$8.0$8.0$16.0$Round Rock$Dec 11, 2007$32.0$32.0$12288.0$0.0$682.0
Power$Dell$PowerEdge 1950 III (Intel Xeon E5440)$1$BEA System$Intel Xeon E5440$2833.0$2.0$8.0$8.0$8.0$Round Rock$Feb 27, 2008$32.0$32.0$12288.0$0.0$712.0
Power$Dell$PowerEdge 2950 III (Intel Xeon E5440)$1$BEA System$Intel Xeon E5440$2833.0$2.0$8.0$8.0$16.0$Round Rock$Feb 27, 2008$32.0$32.0$12288.0$0.0$719.0
Power$Dell$PowerEdge R300$1$BEA System$Intel Xeon L5410$2330.0$1.0$4.0$4.0$8.0$Round Rock$Mar 26, 2008$32.0$32.0$12288.0$0.0$800.0
Power$Dell$PowerEdge Energy Smart 1950 III (Intel Xeon L5420)$1$BEA System$Intel Xeon L5420$2500.0$2.0$8.0$8.0$8.0$Round Rock$Jul 31, 2008$32.0$32.0$12288.0$0.0$744.0
Power$Dell$PowerEdge 2970 (AMD Opteron 2356, 2.30 GHz)$1$Oracle Corporation$AMD Opteron 2356$2300.0$2.0$8.0$8.0$16.0$Round Rock$Jan 2, 2009$64.0$64.0$512.0$2048.0$545.0
Power$Dell$PowerEdge 2970 (AMD Opteron 2382, 2.60 GHz)$1$Oracle Corporation$AMD Opteron 2382$2600.0$2.0$8.0$8.0$16.0$Round Rock$Jan 2, 2009$64.0$64.0$512.0$6144.0$851.0
Power$Dell$PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)$1$Oracle Corporation$Intel Xeon X5570$2933.0$2.0$8.0$16.0$12.0$Round Rock$May 20, 2009$32.0$32.0$256.0$8192.0$1844.0
Power$Dell$PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)$1$Oracle Corporation$Intel Xeon X5570$2933.0$2.0$8.0$16.0$8.0$Round Rock$Jun 3, 2009$32.0$32.0$256.0$8192.0$1860.0
Power$Dell$PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)$1$Oracle Corporation$Intel Xeon L5530$2400.0$2.0$8.0$16.0$8.0$Round Rock$Sep 9, 2009$32.0$32.0$256.0$8192.0$1930.0
Power$Dell$PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)$1$Oracle Corporation$Intel Xeon L5530$2400.0$2.0$8.0$16.0$8.0$Round Rock$Oct 21, 2009$32.0$32.0$256.0$8192.0$1918.0
